,feature_id,latitude,longitude,easting,northing,utm_epsg,SoVI,pop_d_c
604,604,51.05745488,-114.0558496,706315.6008,5660338.57,32611,Moderate,Moderate
605,605,51.05446031,-114.0540441,706455.4286,5660010.714,32611,Moderate,Moderate
606,606,51.05528454,-114.0506512,706689.4881,5660111.867,32611,Moderate,Moderate
607,607,51.05851395,-114.0521928,706567.0923,5660466.567,32611,Moderate,High
608,608,51.06105535,-114.0508061,706652.9264,5660752.997,32611,Low,Moderate
609,609,51.06313444,-114.0524958,706525.2949,5660979.395,32611,Low,Moderate
610,610,51.06565424,-114.0528033,706492.5327,5661258.669,32611,Low,Moderate
611,611,51.06504094,-114.0597472,706008.8301,5661171.029,32611,Moderate,Moderate
612,612,51.06205924,-114.0594716,706041.3788,5660840.311,32611,Low,Moderate
613,613,51.06003966,-114.0577015,706174.3645,5660620.742,32611,Low,Moderate
614,614,51.05997294,-114.0664864,705559.1955,5660588.757,32611,Moderate,Low
615,615,51.06518817,-114.065058,705636.1432,5661172.547,32611,Moderate,Moderate
616,616,51.0683688,-114.0618038,705849.9921,5661535.248,32611,Moderate,Moderate
617,617,51.07108072,-114.0637124,705704.2707,5661831.408,32611,Low,Moderate
618,618,51.07196534,-114.058086,706094.4281,5661945.495,32611,Moderate,Moderate
619,619,51.07513513,-114.059722,705965.7556,5662293.314,32611,Low,Moderate
620,620,51.07469684,-114.0650796,705592.4724,5662229.608,32611,Moderate,Moderate
621,621,51.07469928,-114.0722978,705086.9117,5662209.739,32611,Moderate,Moderate
622,622,51.07100834,-114.0719803,705125.48,5661800.285,32611,Moderate,Moderate
623,623,51.07802288,-114.0548259,706295.816,5662628.072,32611,Moderate,Moderate
624,624,51.0755987,-114.0521496,706494.0367,5662366.07,32611,Moderate,Moderate
625,625,51.07865569,-114.0490338,706698.6254,5662714.676,32611,High,Low
626,626,51.08440533,-114.0499827,706606.5429,5663351.224,32611,High,Low
627,627,51.08474592,-114.0371304,707504.968,5663425.252,32611,High,Low
628,628,51.09368894,-114.054688,706235.7437,5664370.125,32611,High,Low
629,629,51.07075317,-114.0386451,707461.5144,5661865.352,32611,High,Low
630,630,51.06978334,-114.0463025,706929.4932,5661735.975,32611,Moderate,Moderate
631,631,51.06428103,-114.0441673,707103.6227,5661130.266,32611,Moderate,Low
632,632,51.06268702,-114.0383716,707516.7624,5660969.378,32611,Low,Moderate
633,633,51.06078057,-114.0347675,707777.7876,5660767.597,32611,Moderate,Moderate
634,634,51.05919491,-114.0369292,707633.4433,5660585.214,32611,Moderate,Moderate
635,635,51.06346034,-114.0322586,707941.5448,5661072.601,32611,Moderate,Low
